"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","label"
"1","120.28.235.bch","2011-02-11",1297464908,739708,"0001193125-11-025949","dex992.htm",420078,67,24,"o"
"3","67.164.40.bah","2011-02-11",1297464326,1230276,"0001193125-11-032963","ds1.htm",2488380,1,1,"n"
"4","190.250.25.bfb","2011-02-11",1297464146,1500837,"0001188112-11-000208","t69676_s1a.htm",5512783,4,3,"n"
"7","88.69.162.ghe","2011-02-11",1297462828,881695,"0000881695-11-000005","form8k.htm",29046,1,1,"n"
"8","76.215.116.dfg","2011-02-11",1297462439,80255,"0000080255-11-000133","enoc13gadec10.txt",8262,2,2,"n"
"10","202.129.197.dbe","2011-02-11",1297462027,854852,"0001104659-11-005335","a11-5381_18k.htm",31169,143,75,"o"
"15","24.79.104.ebg","2011-02-11",1297461662,1061768,"0001140361-11-008233","form13fhr.txt",5632,2,1,"n"
"16","67.111.227.bji","2011-02-11",1297461661,817979,"0001047469-11-000155","a2201601z424b3.htm",4384016,13,2,"n"
"28","99.53.250.hdj","2011-02-11",1297457902,3952,"0000354204-11-000839","rrd162.htm",50184,3,1,"n"
"36","83.54.6.jie","2011-02-11",1297456051,1016118,"0001144204-08-057974","v128745_f6pos.htm",124484,1,1,"n"
"41","69.137.232.fhf","2011-02-11",1297455631,1306900,"0000912282-10-000861","exeter6k_10272010.htm",37615,3,2,"n"
"44","24.12.168.edc","2011-02-11",1297455529,783412,"0001437749-11-000798","djc_10q-123110.htm",358321,1,1,"n"
"46","200.126.131.fbb","2011-02-11",1297455278,1259429,"0001193125-11-032957","dn2.htm",2772065,1,1,"n"
"48","99.192.5.agj","2011-02-11",1297454852,1061768,"0001140361-11-008233","form13fhr.txt",5632,1,1,"n"
"49","96.255.161.aej","2011-02-11",1297454829,921669,"0001140361-11-002446","xslF345X03/doc1.xml",21696,34,12,"n"
"58","72.201.56.bji","2011-02-11",1297454221,1501089,"0001047469-10-008062","a2200147z10-12b.htm",36701,2,1,"n"
"60","98.220.219.bfc","2011-02-11",1297453992,1230276,"0001193125-11-032963","ds1.htm",2488380,1,1,"n"
"62","207.154.108.gcd","2011-02-11",1297452410,1105343,"0001144204-11-007718","v210716_sc13g.htm",310217,4,2,"n"
"66","208.82.86.edc","2011-02-11",1297451907,1011712,"0001104659-11-006823","a11-5461_4sc13ga.htm",100336,2,1,"n"
"68","137.53.241.fed","2011-02-11",1297451640,1087432,"0001193125-11-032969","dsc13ga.htm",105530,17,8,"n"
"80","174.57.171.bif","2011-02-11",1297451363,1446727,"0001144204-11-007871","v210917_s1.htm",1648379,3,3,"n"
"86","174.18.3.jhd","2011-02-11",1297450595,790070,"0001193125-10-246132","d10q.htm",1196901,2,2,"n"
"88","206.190.70.dff","2011-02-11",1297449866,93751,"0000093748-11-000039","super10.txt",7355,3,3,"n"
"89","85.144.161.fbd","2011-02-11",1297449005,1415813,"0001415812-09-000009","r8k-060109ar.htm",249898,1,1,"n"
"90","206.171.8.jea","2011-02-11",1297448730,807985,"0000807985-11-000017","dell13g4.txt",13214,20,7,"n"
"101","99.112.164.ehg","2011-02-11",1297447388,1230276,"0001193125-11-032963","ds1.htm",2488380,2,1,"n"
"106","66.31.21.aig","2011-02-11",1297445225,351077,"0000950124-07-001199","k12691e10vk.htm",1585841,6,2,"n"
"109","86.184.85.bgd","2011-02-11",1297445155,829224,"0001193125-10-266333","d10k.htm",1762536,6,1,"n"
"110","216.239.45.ech","2011-02-11",1297444875,1288776,"0001127602-10-026893","xslF345X03/form4.xml",34117,49,13,"n"
"115","69.28.149.hjh","2011-02-11",1297444840,1230276,"0001193125-11-032963","ds1.htm",2488380,39,6,"n"
"117","76.118.34.iji","2011-02-11",1297444827,929887,"0000950123-09-053647","p16132e10vk.htm",2206313,2,1,"n"
"121","66.81.51.gif","2011-02-11",1297444358,39092,"0000950123-11-012659","h79338e10vq.htm",133180,1,1,"n"
"122","189.97.92.fef","2011-02-11",1297444119,757011,"0000757011-11-000017","xslF345X03/primary_doc.xml",19402,6,1,"n"
"127","99.244.252.caf","2011-02-11",1297443987,1230276,"0001193125-11-032963","ds1.htm",2488380,6,2,"n"
"128","213.226.236.baj","2011-02-11",1297443292,1086888,"0001145443-11-000188","d27860.htm",60065,34,27,"n"
"129","69.105.143.efj","2011-02-11",1297442298,1173334,"0000950123-11-012592","c62975e13fvhr.txt",5569,6,4,"n"
"132","94.101.3.ggf","2011-02-11",1297441750,764180,"0001193125-11-018237","d8k.htm",17215,6,2,"n"
"134","68.125.103.afh","2011-02-11",1297441106,775345,"0000775345-11-000006","pressrelease.htm",754770,1,1,"n"
"136","95.112.6.fbb","2011-02-11",1297440226,794107,"0000794107-08-000023","cala8k111908.txt",2176,2,1,"n"
"137","83.143.42.gfj","2011-02-11",1297440158,354204,"0000354204-11-000735","rrd058.htm",50168,32,4,"n"
"142","88.109.78.ddh","2011-02-11",1297440076,63908,"0001140361-11-008261","xslF345X03/doc1.xml",24716,1,1,"n"
"153","98.173.1.eff","2011-02-11",1297439755,820738,"0001193125-11-011105","ddef14a.htm",213316,3,1,"n"
"172","72.160.36.baj","2011-02-11",1297439210,1092299,"0001117768-03-000024","casareg.txt",29832,11,1,"n"
"173","128.59.154.hee","2011-02-11",1297439186,807707,"0000814375-11-000003","audiovox10.txt",8509,9,4,"n"
"176","64.245.141.jde","2011-02-11",1297439133,21344,"0001047469-10-001476","a2195739z10-k.htm",1903858,3,3,"n"
"178","67.184.75.ghe","2011-02-11",1297439033,1166380,"0001181431-11-006202","xslFormDX01/primary_doc.xml",69478,4,2,"n"
"190","24.145.213.beh","2011-02-11",1297438476,1135906,"0001181431-11-009065","xslF345X03/rrd300472.xml",17778,232,175,"o"
"218","209.66.120.ggf","2011-02-11",1297438199,101830,"0001193125-10-042491","d10k.htm",2620022,3,2,"n"
"235","137.52.253.jfg","2011-02-11",1297438001,1018444,"9999999997-10-017903",".paper",293,3,2,"n"
"248","70.173.118.caf","2011-02-11",1297437879,1507858,"0001185185-11-000091","austinacquis10g-a012611.htm",479817,2,1,"n"
"288","98.73.50.jdd","2011-02-11",1297437475,1141788,"0001188112-11-000245","t69525_10qa.htm",465343,1,1,"n"
"296","76.10.149.gge","2011-02-11",1297437412,758004,"0000950123-11-011959","c62860i4exv99w1.htm",3709,4,2,"n"
"310","68.146.120.def","2011-02-11",1297437289,47580,"0001104659-07-059749","a07-18750_110q.htm",1264912,6,4,"n"
"335","173.200.100.dda","2011-02-11",1297436915,866970,"0001193125-11-030819","ds1.htm",2341641,30,25,"n"
"361","151.200.214.fdf","2011-02-11",1297436654,1412126,"0000000000-10-077320","filename1.pdf",32220,3,1,"n"
"362","67.8.43.hdj","2011-02-11",1297436571,1412126,"0000000000-10-077320",".txt",45896,6,1,"n"
"442","192.88.158.eff","2011-02-11",1297434730,1392522,"0001193125-11-032368","d10k.htm",2701428,14,2,"n"
"450","70.81.129.ggf","2011-02-11",1297434410,1364326,"0001062993-11-000510","form8k.htm",50253,6,1,"n"
"457","78.34.157.ihh","2011-02-11",1297434160,716006,"0001193125-10-124767","ddefa14a.htm",39206,3,1,"n"
"476","173.28.9.jga","2011-02-11",1297432788,1035674,"0001013594-07-000335","xslF345X02/equityfm4-061807_ex.xml",34594,1,1,"n"
"478","128.174.236.gfa","2011-02-11",1297430635,884144,"0001037389-11-000024","asur.txt",14058,1,1,"n"
"479","35.8.179.gee","2011-02-11",1297430536,1111335,"0000950103-00-000521",".txt",763173,1,1,"n"
"480","173.11.100.eih","2011-02-11",1297430502,102588,"0000102588-11-000004","swhi2011q2.htm",408694,10,9,"n"
"481","72.133.34.gig","2011-02-11",1297430498,1140102,"0001144204-10-019314","v180566_10k.htm",1426781,4,3,"n"
"488","209.87.254.dif","2011-02-11",1297430105,1262039,"0000950123-11-010915","c11980sc13gza.htm",70950,2,1,"n"
"493","68.209.46.ide","2011-02-11",1297428684,1158780,"0001178913-11-000404","zk1109427.htm",1476951,1,1,"n"
"496","71.192.162.bdf","2011-02-11",1297428375,1107694,"0001107694-11-000004",".txt",1071224,4,1,"n"
"500","72.226.69.baj","2011-02-11",1297427736,1073404,"0001104659-11-004337",".txt",32785,3,1,"n"
"503","76.31.46.hfe","2011-02-11",1297426983,1034563,"0000928475-11-000039",".txt",21023,11,3,"n"
"512","24.216.232.dff","2011-02-11",1297426518,914156,"0001104659-10-056004","a10-20633_1ex99d1.htm",102910,1,1,"n"
"518","190.138.136.ffb","2011-02-11",1297423812,1268236,"0001144204-11-007382","v210787_defa14a.htm",112878,1,1,"n"
"519","194.239.236.fab","2011-02-11",1297422686,1507435,"0001507435-10-000001","xslFormDX01/primary_doc.xml",54325,1,1,"n"
"522","141.248.3.jbj","2011-02-11",1297420644,857949,"0001144204-11-007050","v210538_10q.htm",1297189,2,2,"n"
"524","65.197.242.cej","2011-02-11",1297420231,812295,"0000812295-11-000002","onnn2102011.txt",5543,6,4,"n"
"530","98.229.188.ahd","2011-02-11",1297419064,1039280,"0001144204-11-007486","v210817_10q.htm",1663768,7,2,"n"
"531","71.118.247.jhi","2011-02-11",1297418926,1506744,"0001144204-11-007398","v210722_s1a.htm",1784402,2,2,"n"
"532","99.8.112.eff","2011-02-11",1297418353,1800,"0001104659-10-056473","a10-16055_110q.htm",1165855,3,1,"n"
"533","173.20.48.haf","2011-02-11",1297418253,1051470,"0001445305-10-001287","crowncastle10q093010.htm",1673564,1,1,"n"
"534","216.223.242.bjg","2011-02-11",1297418247,1159508,"0000950123-10-092336","f03477e424b5.htm",38211,23,3,"n"
"555","88.117.87.ach","2011-02-11",1297416703,50957,"0000050957-08-000004","fbnproxy2008.htm",2691258,3,1,"n"
"558","65.9.185.egd","2011-02-11",1297416490,790070,"0000790070-11-000019","xslF345X03/edgar.xml",18958,7,1,"n"
"567","216.223.242.fhc","2011-02-11",1297415357,1283073,"0001013762-11-000291","form13da.htm",32588,23,16,"n"
"571","76.66.108.jjh","2011-02-11",1297413409,887150,"0000914208-08-000198","hampshiresc13ga082208.htm",44162,6,1,"n"
"577","66.187.233.caa","2011-02-11",1297413006,1108524,"0001193125-10-268895","d10q.htm",1112972,1,1,"n"
"578","64.20.161.iae","2011-02-11",1297412990,357294,"0000950123-11-009827","y89324b5e424b5.htm",665716,10,5,"n"
"579","12.153.26.fbd","2011-02-11",1297412986,1011814,"0001011814-11-000005",".txt",28959,3,2,"n"
"586","84.196.200.fdi","2011-02-11",1297412457,1430124,"0001391609-11-000036","f8k_alto.htm",18493,1,1,"n"
"594","193.97.107.jfc","2011-02-11",1297410542,758004,"0000950123-11-011959","c62860i4sc13gza.htm",36822,1,1,"n"
"614","68.196.251.aea","2011-02-11",1297407904,320193,"0001193125-11-010144","d10q.htm",646636,1,1,"n"
"622","217.153.131.gha","2011-02-11",1297406456,773910,"0001193125-10-037173","d10k.htm",2671383,2,2,"n"
"624","115.108.68.fca","2011-02-11",1297405768,1485469,"0001193125-10-080548","ds1a.htm",3147569,49,37,"n"
"640","124.247.238.jbf","2011-02-11",1297404628,1365555,"0001144204-06-046088","filename1.htm",317588,562,150,"o"
"644","99.238.0.jeh","2011-02-11",1297404463,1414850,"0000950123-11-003595","h04772e6vk.htm",11244,1,1,"n"
"682","78.34.139.gig","2011-02-11",1297402508,50957,"0000950123-10-020129","c56137e10vk.htm",1042948,1,1,"n"
"742","67.188.92.fca","2011-02-11",1297398548,892160,"0001144204-11-006589",".txt",88833,2,1,"n"
"754","91.64.60.ahd","2011-02-11",1297396872,1429896,"0001096906-11-000200","acar10q20101231.htm",480914,1,1,"n"
"888","76.27.197.afh","2011-02-11",1297390076,1292556,"0001047469-10-003675","a2197941zdef14a.htm",380758,2,2,"n"
"889","24.9.209.jje","2011-02-11",1297389802,106444,"0000932471-06-000697","fixedincomefinal.htm",2749570,7,1,"n"
"895","88.226.143.cjj","2011-02-11",1297388884,1174891,"0001165527-10-001011","ex31-2.txt",3759,7,3,"n"
"898","98.207.222.jdi","2011-02-11",1297388232,1108320,"0001193125-10-255991","dex991.htm",8257,5,1,"n"
"900","67.185.174.hhj","2011-02-11",1297388041,1059763,"0001144204-10-012309","v176553_10k.htm",1628664,7,2,"n"
"904","122.165.218.cic","2011-02-11",1297387249,753772,"0001179350-11-000015","form10k_2010finalfiling.htm",1513671,29,21,"n"
"913","67.170.199.aea","2011-02-11",1297386321,1082463,"0000950123-11-011787",".txt",248462,2,2,"n"
"915","71.109.153.afh","2011-02-11",1297386171,1080034,"0001179110-10-012531","xslF345X03/edgar.xml",17708,13,1,"n"
"924","68.146.114.eaj","2011-02-11",1297385930,12927,"0001193125-11-028490","d10k.htm",2075039,1,1,"n"
"929","68.145.161.aah","2011-02-11",1297385833,216105,"0000876661-11-000018","xslF25X02/primary_doc.xml",9822,1,1,"n"
"942","71.178.9.abh","2011-02-11",1297384845,858877,"0001193125-10-266844","d10q.htm",1453369,5,2,"n"
"970","75.9.64.idd","2011-02-11",1297383358,868267,"0000868267-10-000002","form10k.txt",66512,9,2,"n"
